ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
ADOC.PA,Adocia,Biotech,3.94,-1.45,84701,109672.0,0.77,3.923,3.942,5.291,47.7,0.17,3.67,12.4,3.61,4.33,3.61,,,,,False,0,EMA200 > EMA20 > Prix > EMA9,0,3.68,4.37,2026-08-03
BVI.PA,Bureau Veritas,Services,28.25,1.22,1207786,946475.0,1.28,27.772,27.395,27.045,60.2,0.705,2.09,30.18,24.58,30.18,26.49,,,,2.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,27.19,30.01,2026-08-03
CO.PA,Casino Guichard,Distribution,0.19,3.05,346751,465270.0,0.75,0.185,0.189,0.295,50.6,0.011,5.43,0.76,0.15,0.23,0.17,,,,9.0,False,-4,EMA200 > Prix > EMA20 > EMA9,-4,0.18,0.22,2026-08-03
COFA.PA,Coface,Assurance,16.11,1.96,209215,190397.0,1.1,15.945,15.828,15.552,61.0,0.261,1.8,16.99,14.02,16.39,15.12,,,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,15.72,16.76,2026-08-03
GET.PA,Getlink,Transport,18.49,-0.22,1127114,625287.0,1.8,18.595,18.611,17.768,46.1,0.287,1.53,19.85,15.02,18.99,18.23,,1.0,,,True,2,EMA20 > EMA9 > Prix > EMA200,2,18.06,19.21,2026-08-03
ICAD.PA,Icade,Immobilier,19.6,-0.71,175934,112867.0,1.56,19.419,19.315,20.372,55.3,0.413,2.01,23.06,18.09,19.98,18.09,,3.0,,1.0,True,0,EMA200 > Prix > EMA9 > EMA20,0,18.98,20.63,2026-08-03
IPN.PA,Ipsen,Santé,153.1,-2.61,150980,106375.0,1.42,159.069,160.623,148.23,38.1,5.126,3.04,173.5,104.6,172.7,153.1,,,baissière,0.0,False,2,EMA20 > EMA9 > Prix > EMA200,1,145.41,165.91,2026-08-03
IPS.PA,Ipsos,Services,38.16,-8.4,268035,90794.0,2.95,39.583,38.193,36.533,51.7,1.574,3.76,42.98,29.1,42.98,33.46,,8.0,,2.0,True,0,EMA9 > EMA20 > Prix > EMA200,0,35.8,42.09,2026-08-03
IPH.PA,InnatePharma,Biotech,1.53,-1.8,84761,116682.0,0.73,1.567,1.575,1.537,43.1,0.058,3.26,2.2,1.03,1.76,1.5,,,,,False,0,EMA20 > EMA9 > EMA200 > Prix,0,1.44,1.67,2026-08-03
JCQ.PA,Jacquet Metal Service,Industrie,21.7,1.88,1697,1356.0,1.25,21.652,21.657,21.307,50.3,0.394,1.37,25.4,17.06,22.1,21.0,,1.0,,6.0,False,4,Prix > EMA20 > EMA9 > EMA200,4,21.11,22.68,2026-08-03
MERY.PA,Mercialys,Immobilier,11.94,-1.32,224313,125637.0,1.79,11.913,11.821,11.53,57.1,0.197,1.53,12.98,10.42,12.38,11.46,,6.0,,,True,7,Prix > EMA9 > EMA20 > EMA200,7,11.65,12.43,2026-08-03
NEX.PA,Nexans,Industrie,129.2,-1.82,290202,173601.0,1.67,130.722,133.894,134.661,39.7,4.964,3.45,169.0,109.7,141.3,123.8,,,,3.0,True,-7,EMA200 > EMA20 > EMA9 > Prix,-7,121.75,141.61,2026-08-03
RUI.PA,Rubis,Énergie,33.42,-0.3,106000,103674.0,1.02,32.944,32.645,32.911,61.4,0.537,1.44,37.08,27.44,33.64,30.98,,7.0,,1.0,False,0,Prix > EMA9 > EMA200 > EMA20,0,32.62,34.76,2026-08-03
SW.PA,Sodexo,Services,57.15,-0.61,178266,287510.0,0.62,56.37,54.814,49.473,65.5,1.271,2.19,58.4,35.5,58.4,51.1,,,,2.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,55.24,60.33,2026-08-03
SPIE.PA,Spie,Services,46.98,-1.3,576680,348729.0,1.65,47.756,48.335,47.617,39.6,1.323,2.57,54.55,41.44,53.45,45.72,,,,,True,0,EMA20 > EMA9 > EMA200 > Prix,0,45.0,50.29,2026-08-03
SK.PA,SEB,Biens de consommation,60.85,1.42,79524,65927.0,1.21,56.303,53.347,53.241,72.9,2.251,4.13,68.6,40.84,60.85,45.82,,6.0,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,57.47,66.48,2026-08-03
TFI.PA,TF1,Médias,7.14,0.92,364885,237017.0,1.54,6.982,6.89,7.292,67.7,0.131,1.9,9.02,6.55,7.22,6.65,,,,2.0,True,0,EMA200 > Prix > EMA9 > EMA20,0,6.94,7.46,2026-08-03
TKO.PA,Tikehau Capital,Finance,16.58,5.87,56266,90083.0,0.62,16.988,17.212,17.423,42.7,0.553,3.09,20.5,14.58,18.4,15.58,,2.0,,1.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,15.75,17.96,2026-08-03
VLA.PA,Valneva,Biotech,2.18,0.92,370282,414627.0,0.89,2.17,2.191,2.994,46.9,0.081,3.33,5.41,2.03,2.36,2.03,,,,6.0,False,0,EMA200 > EMA20 > Prix > EMA9,0,2.06,2.39,2026-08-03
VK.PA,Vallourec,Industrie,18.73,-10.23,1330139,821916.0,1.62,20.722,21.026,20.394,29.8,0.738,2.6,27.67,14.76,22.31,18.52,,1.0,baissière,0.0,True,0,EMA20 > EMA9 > EMA200 > Prix,-4,17.62,20.57,2026-08-03
VRLA.PA,Verallia,Industrie,18.23,-0.55,27676,26053.0,1.06,18.871,19.218,20.887,36.8,0.594,2.91,29.0,15.5,20.54,17.91,,7.0,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,17.34,19.72,2026-08-03
WLN.PA,Worldline,Technologie,13.46,35.03,1130792,426491.0,2.65,10.727,10.478,17.134,70.7,0.819,5.64,34.62,9.05,13.94,9.05,haussier,0.0,haussière,0.0,True,0,EMA200 > Prix > EMA9 > EMA20,5,12.23,15.51,2026-08-03
XFAB.PA,X-FAB,Semi-conducteurs,6.41,-5.53,756596,442547.0,1.71,6.81,7.279,6.76,38.1,0.576,6.11,15.88,4.09,9.0,6.07,,,,3.0,True,0,EMA20 > EMA9 > EMA200 > Prix,0,5.54,7.85,2026-08-03
