ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
BN.PA,Danone,Agroalimentaire,73.18,-1.11,1611334,1762137.0,0.91,72.317,70.161,69.46,67.0,1.359,1.81,80.14,60.64,74.68,64.68,,,,4.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,71.14,76.58,2026-07-08
DSY.PA,Dassault Systèmes,Technologie,17.97,-3.72,2284682,2234727.0,1.02,18.217,18.224,21.58,46.0,0.624,2.97,33.16,15.82,19.27,16.8,baissier,0.0,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-8,17.03,19.52,2026-07-08
EDEN.PA,Edenred,Services,23.09,-2.16,609445,1267705.0,0.48,23.045,22.657,21.443,55.0,0.778,2.97,27.54,15.23,24.74,19.91,,,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,21.92,25.04,2026-07-08
ENGI.PA,Engie,Énergie,26.78,-2.19,3022937,3049492.0,0.99,27.151,27.119,24.938,46.3,0.552,2.0,29.89,17.2,27.81,26.43,,7.0,,,False,0,EMA9 > EMA20 > Prix > EMA200,0,25.95,28.16,2026-07-08
EL.PA,EssilorLuxottica,Santé/Optique,169.35,-3.72,1028938,793559.0,1.3,171.603,172.32,216.998,45.3,5.639,3.2,323.8,160.6,188.9,160.6,,,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,160.89,183.45,2026-07-08
ERF.PA,Eurofins Scientific,Santé,67.06,-2.7,226836,293743.0,0.77,67.993,66.726,63.156,55.0,1.494,2.06,74.32,54.86,70.28,61.44,,,,8.0,False,4,EMA9 > Prix > EMA20 > EMA200,4,64.82,70.8,2026-07-08
RMS.PA,Hermès,Luxe,1570.5,-4.24,96510,89317.0,1.08,1620.153,1631.954,1870.767,40.8,53.327,2.94,2446.0,1529.0,1793.0,1564.5,,9.0,baissière,0.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-8,1490.51,1703.82,2026-07-08
KER.PA,Kering,Luxe,239.65,-4.98,346089,331263.0,1.04,251.182,254.658,258.917,38.5,9.932,3.37,354.2,190.24,280.7,238.85,,5.0,baissière,0.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-8,224.75,264.48,2026-07-08
OR.PA,L'Oréal,Cosmétiques,380.75,-1.96,397180,477430.0,0.83,383.342,382.349,372.713,49.8,9.181,2.1,408.35,338.85,397.05,369.45,,,,,False,0,EMA9 > EMA20 > Prix > EMA200,0,366.98,403.7,2026-07-08
LR.PA,Legrand,Industrie,142.15,0.28,700338,689642.0,1.02,143.488,144.39,138.722,45.6,4.095,2.4,166.95,111.55,155.25,132.7,,4.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,136.01,152.39,2026-07-08
MC.PA,LVMH,Luxe,484.9,-2.2,562427,643859.0,0.87,491.293,490.782,517.486,47.5,14.412,2.59,654.7,440.0,537.2,471.35,,,,,False,0,EMA200 > EMA9 > EMA20 > Prix,0,463.28,520.93,2026-07-08
ML.PA,Michelin,Industrie,34.22,-2.37,1936414,1642449.0,1.18,34.357,33.758,31.473,58.3,0.637,1.6,35.72,25.51,35.72,32.18,,,,4.0,False,4,EMA9 > Prix > EMA20 > EMA200,4,33.27,35.81,2026-07-08
ORA.PA,Orange,Télécom,15.95,0.19,4504927,5176463.0,0.87,16.139,16.599,16.117,31.5,0.343,1.88,18.81,12.9,17.84,15.62,,,,2.0,False,0,EMA20 > EMA9 > EMA200 > Prix,0,15.44,16.81,2026-07-08
RI.PA,Pernod Ricard,Boissons,64.16,-2.61,759920,766515.0,0.99,64.15,63.989,73.217,50.8,1.914,2.79,107.45,58.6,67.06,61.24,,1.0,,,False,0,EMA200 > Prix > EMA9 > EMA20,0,61.29,68.94,2026-07-08
PUB.PA,Publicis,Communication,85.16,-3.38,637270,700852.0,0.91,86.431,86.701,83.063,46.2,2.364,2.35,94.0,68.14,92.78,81.52,,5.0,,5.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,81.61,91.07,2026-07-08
RNO.PA,Renault,Automobile,25.24,-4.14,1505041,1636400.0,0.92,26.038,26.528,31.437,38.5,0.95,3.11,41.49,24.66,29.75,24.66,,,,6.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,23.82,27.61,2026-07-08
SAF.PA,Safran,Aéronautique,332.5,-4.23,898298,785160.0,1.14,343.701,334.169,300.291,52.6,9.454,2.35,360.8,262.6,360.8,290.5,,,,4.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,318.32,356.13,2026-07-08
SGO.PA,Saint-Gobain,Matériaux,75.0,-4.43,1515993,1221218.0,1.24,78.281,78.234,81.38,41.7,2.31,2.68,104.65,65.88,82.42,73.24,,,,9.0,False,0,EMA200 > EMA9 > EMA20 > Prix,0,71.54,80.77,2026-07-08
SAN.PA,Sanofi,Santé,75.37,-0.54,1993531,2780922.0,0.72,75.018,74.982,79.971,51.0,1.813,2.47,91.15,71.25,77.11,71.25,haussier,0.0,,,False,0,EMA200 > Prix > EMA9 > EMA20,1,72.65,79.9,2026-07-08
SU.PA,Schneider Electric,Industrie,263.8,-1.57,1244070,1017070.0,1.22,274.255,275.763,255.207,41.0,8.227,2.32,293.7,208.8,293.7,257.95,,1.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,251.46,284.37,2026-07-08
GLE.PA,Société Générale,Banque,71.3,-5.79,2541550,1719478.0,1.48,75.765,75.434,66.009,39.3,2.038,2.29,79.07,48.62,79.07,68.52,,,,,False,0,EMA9 > EMA20 > Prix > EMA200,0,68.24,76.39,2026-07-08
STLAP.PA,Stellantis,Automobile,4.69,-5.85,8053282,7159666.0,1.12,5.014,5.314,7.246,27.8,0.225,3.51,10.49,4.68,6.28,4.68,,,baissière,0.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-9,4.36,5.25,2026-07-08
STMPA.PA,STMicroelectronics,Technologie,58.49,0.33,2591460,3077905.0,0.84,61.645,62.455,39.811,42.8,3.237,4.34,70.85,18.2,70.85,57.92,,1.0,,1.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,53.63,66.58,2026-07-08
TEP.PA,Teleperformance,Services,50.68,-2.35,198608,346727.0,0.57,51.224,53.123,60.733,41.4,2.601,5.0,90.68,43.65,57.5,43.65,,,,6.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,46.78,57.18,2026-07-08
HO.PA,Thales,Défense,233.7,-1.64,313360,299035.0,1.05,233.514,231.538,238.112,52.3,7.371,3.34,279.3,212.6,248.5,212.6,,3.0,,4.0,False,0,EMA200 > Prix > EMA9 > EMA20,0,222.64,252.13,2026-07-08
TTE.PA,TotalEnergies,Énergie,69.35,2.32,6185160,4849436.0,1.28,68.298,70.047,67.335,42.6,1.545,1.77,81.34,49.24,78.89,65.75,,,,5.0,False,0,EMA20 > Prix > EMA9 > EMA200,0,67.03,73.21,2026-07-08
URW.PA,Unibail-Rodamco-Westfield,Immobilier,100.75,-2.28,271463,333079.0,0.82,102.012,101.367,95.697,48.7,1.615,1.53,106.65,79.02,103.65,97.76,,,,8.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,98.33,104.79,2026-07-08
VIE.PA,Veolia,Environnement,36.7,-0.84,1919548,1936023.0,0.99,36.626,36.182,33.017,57.7,0.634,1.73,37.62,27.43,37.62,34.73,,,,3.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,35.75,38.29,2026-07-08
DG.PA,Vinci,BTP,118.25,-4.25,1358452,1025883.0,1.32,124.808,126.087,125.284,33.5,2.805,2.1,143.15,112.4,132.2,118.25,,2.0,baissière,0.0,False,0,EMA20 > EMA200 > EMA9 > Prix,-1,114.04,125.26,2026-07-08
